Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,CHGNet_Energy,CHGNet_Net_Magmom,CHGNet_Abs_Magmom
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.0227461858416246,2.02,0.2800000000000002,7.5,-2.463285518,0.0,0.0,0.0109821,mp-18967,-0.378869,5.8387136,5.8387136
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.0227461858416246,2.02,0.2800000000000002,7.5,-2.454069767,0.009215750999985,1.274,2.1e-06,mp-561894,-0.3788514,5.8895226,5.8895226
2,7,9,0.89,1.9,1.88,1.4742857142857142,0.534,0.6255555555555555,1.0265934599965334,0.0462453698273539,1.89,0.02,8.0,-2.4478527995,0.04870363225,0.198199999999999,1.92e-05,mp-545792,-0.19407141,11.382798,11.382798
2,9,8,0.89,1.88,2.2,1.4742857142857142,0.6255555555555555,0.521,1.0299750708182498,0.0529857259226402,2.04,0.3200000000000003,8.5,-2.09980503266666,0.019201509583339,0.0,15.6349386,mp-1228653,-0.23711768,12.942307,12.942307
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.0318769504967179,1.79,0.1799999999999999,7.5,-2.565399248,0.010751375500013,1.84269999999999,3.0001636,mp-1274542,-0.789178,2.7753787,2.7753787
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.0318769504967179,1.79,0.1799999999999999,7.5,-2.5761506235,0.0,0.0,6.000052,mp-22112,-0.39461,5.504329,5.504329
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.0302486541757249,1.91,0.5000000000000002,6.0,-2.66020709599999,0.0,0.0,3e-07,mp-1079901,-0.40170616,8.8460655,8.8460655
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.500273185,0.000837423000007,0.864099999999999,3.2e-06,mp-1277787,-0.38861215,11.741264,11.741264
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.50098259249999,0.000128015500007,0.7715,2.00003,mp-1288525,-0.38858595,11.795026,11.795026
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.501110608,0.0,0.9037,2.00003,mp-1288978,-0.3885933,11.793382,11.793382
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.497820122,0.003290486000007,0.0,3.99999989999999,mp-18995,-0.77694046,5.889248,5.889248
2,7,8,0.89,1.9,1.83,1.4742857142857142,0.534,0.6216666666666666,1.0276027229691191,0.0443245976012515,1.865,0.0699999999999998,7.5,-2.48591545325,0.003049289499999,0.0,3.000002,mp-31756,-0.7926802,4.580135,4.580135
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.0299556522316346,1.765,0.1300000000000001,7.0,-2.639823302,0.000347599500006,2.50619999999999,9.33e-05,mp-1272506,-0.40420532,7.8857102,7.8857102
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.0299556522316346,1.765,0.1300000000000001,7.0,-2.6401709015,0.0,0.0,7.82e-05,mp-18845,-0.40423417,7.855659,7.855659
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.38106267772727,0.194080436363643,1.5819,2.0000001,mp-2217283,-0.66596234,7.505247,7.505247
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.0030257186066435,1.855,0.6100000000000001,6.5,-2.6296567122931,0.0,1.26539999999999,0.0,mp-20399,-0.3986222,9.6240635,9.6240635
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497643,0.0448632304117824,1.5750000000000002,0.05,6.0,-2.9407101537931,0.027375552666663,0.0,4.0000187,mp-1228414,-0.8226017,4.374475,4.374475
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497643,0.0448632304117824,1.5750000000000002,0.05,6.0,-2.9635321102931,0.004553596166662,1.16279999999999,15.9994692,mp-1272179,-0.20590189,16.536757,16.536757
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497643,0.0448632304117824,1.5750000000000002,0.05,6.0,-2.9629106410431,0.005175065416661,1.1475,16.0006208,mp-1275240,-0.20588998,16.53973,16.53973
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497643,0.0448632304117824,1.5750000000000002,0.05,6.0,-2.9515829482931,0.016502758166661,0.0764,16.0006634,mp-1278519,-0.20573488,16.823687,16.823687
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497643,0.0448632304117824,1.5750000000000002,0.05,6.0,-2.9617253507931,0.006360355666661,0.185799999999999,0.0,mp-1278534,-0.41185784,8.193393,8.193393
2,7,7,0.89,1.9,1.55,1.4742857142857142,0.534,0.586,1.0369525096458223,0.0265306122313618,1.725,0.3499999999999998,7.0,-2.6378569690431,0.0,0.0,3.99999959999999,mp-20813,-0.81497145,4.812974,4.812974
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.3171343647931,0.02291560858333,0.0,20.9979188,mp-1228678,-0.25079706,17.641863,17.641863
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087,1.625,0.1499999999999999,6.5,-2.7469805557931,0.0,2.2267,0.0,mp-19085,-0.4143204,9.365975,9.365975
2,9,5,0.89,1.88,1.6,1.4742857142857142,0.6255555555555555,0.677142857142857,0.9907756868737044,0.025147986214382,1.74,0.2799999999999998,7.0,-2.710650131,0.066096190249994,1.53459999999999,0.000261799999999,mp-1228382,-0.779113,2.2662683,2.2662683
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.0599999999999998,5.5,-3.05619982500001,0.0,1.58239999999999,12.0,mp-31627,-0.20860834,10.306665,10.306665
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.0270694161935879,1.715,0.2299999999999999,6.5,-2.89555372049999,0.0,1.455,0.0,mp-1021504,-0.40364772,9.460408,9.460408
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.0270694161935879,1.715,0.2299999999999999,6.5,-2.87741168466666,0.018142035833317,1.69079999999999,15.0030445,mp-1022733,-0.26888698,14.239211,14.239211
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.0270694161935879,1.715,0.2299999999999999,6.5,-2.873255236,0.022298484499984,1.34979999999999,20.0003999,mp-1022808,-0.20153396,18.770481,18.770481
2,5,9,0.89,1.6,2.28,1.4742857142857142,0.677142857142857,0.605,0.9957647196881576,0.0353455817849575,1.94,0.6799999999999997,7.0,-2.733223787,0.0,0.8889,7.22e-05,mp-1205833,-0.780466,0.09526661,0.09526661
2,5,5,0.89,1.6,1.63,1.4742857142857142,0.677142857142857,0.576875,1.0026728991087577,0.0494659178260535,1.615,0.0299999999999998,5.0,-3.119411723,0.0,0.0,0.000232099999999,mp-1078969,-0.20867603,8.364913,8.364913
2,5,5,0.89,1.6,1.63,1.4742857142857142,0.677142857142857,0.576875,1.0026728991087577,0.0494659178260535,1.615,0.0299999999999998,5.0,-3.094641198,0.024770524999999,0.0,0.1300782,mp-1277332,-0.41702795,4.0322614,4.0322614
2,10,6,0.89,1.91,2.16,1.4742857142857142,0.5714285714285715,0.58,1.0287048758048811,0.0043383947917303,2.035,0.2500000000000002,8.0,-2.44925213,0.0,2.3514,0.0,mp-552567,-0.37070328,4.146227,4.146227
2,10,8,0.89,1.91,2.2,1.4742857142857142,0.5714285714285715,0.521,1.0442976057771003,0.0259111094666292,2.055,0.2900000000000002,9.0,-2.068848193,0.025932189499996,0.004,15.9818678,mp-1147774,-0.17270057,14.351908,14.351908
2,10,6,0.89,1.91,1.7,1.4742857142857142,0.5714285714285715,0.562,1.033412394302187,0.0047940727803038,1.805,0.2099999999999999,8.0,-2.56365896249999,0.0,3.3409,0.0,mp-504723,-0.38675615,3.8896751,3.8896751
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.0299556522316346,1.765,0.1300000000000001,7.0,-2.498643676,0.157696589250001,0.0,3.99999989999999,mp-1521698,-0.8048151,4.98098,4.98098
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891488,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.38067126699999,0.121074810656251,0.0,0.0353277,mp-1521804,-0.87561303,0.19397466,0.19397466
2,4,6,0.89,1.3,1.7,1.4742857142857142,0.72,0.562,0.995799568316958,0.0774130327891166,1.5,0.3999999999999999,5.0,-3.056130819,0.180937930749996,0.0,2.0,mp-1521252,-0.8751478,1.7624788,1.7624788
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.0124999999941404,1.315,0.03,4.0,-3.635092758,0.094996619000026,3.3163,0.0,mp-1516790,-0.88503945,0.07621504,0.07621504
