Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B)
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.022746185841624657,2.02,0.28000000000000025,7.5,-2.463285518,0.0,0.0,0.0109821
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.022746185841624657,2.02,0.28000000000000025,7.5,-2.454069767,0.009215750999985,1.274,2.1e-06
2,7,9,0.89,1.9,1.88,1.4742857142857142,0.534,0.6255555555555555,1.0265934599965334,0.04624536982735392,1.89,0.020000000000000018,8.0,-2.4478527995,0.04870363225,0.198199999999999,1.92e-05
2,9,8,0.89,1.88,2.2,1.4742857142857142,0.6255555555555555,0.521,1.0299750708182498,0.05298572592264028,2.04,0.3200000000000003,8.5,-2.09980503266666,0.019201509583339,0.0,15.6349386
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.031876950496717994,1.79,0.17999999999999994,7.5,-2.565399248,0.010751375500013,1.84269999999999,3.0001636
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.031876950496717994,1.79,0.17999999999999994,7.5,-2.5761506235,0.0,0.0,6.000052
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.03024865417572495,1.9100000000000001,0.5000000000000002,6.0,-2.66020709599999,0.0,0.0,3e-07
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,1.995,0.33000000000000007,7.0,-2.500273185,0.000837423000007,0.864099999999999,3.2e-06
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,1.995,0.33000000000000007,7.0,-2.50098259249999,0.000128015500007,0.7715,2.00003
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,1.995,0.33000000000000007,7.0,-2.501110608,0.0,0.9037,2.00003
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,1.995,0.33000000000000007,7.0,-2.497820122,0.003290486000007,0.0,3.99999989999999
2,7,8,0.89,1.9,1.83,1.4742857142857142,0.534,0.6216666666666666,1.0276027229691191,0.044324597601251514,1.865,0.06999999999999984,7.5,-2.48591545325,0.003049289499999,0.0,3.000002
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,1.7650000000000001,0.13000000000000012,7.0,-2.639823302,0.000347599500006,2.50619999999999,9.33e-05
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,1.7650000000000001,0.13000000000000012,7.0,-2.6401709015,0.0,0.0,7.82e-05
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,1.995,0.33000000000000007,7.0,-2.38106267772727,0.194080436363643,1.5819,2.0000001
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.003025718606643502,1.855,0.6100000000000001,6.5,-2.6296567122931,0.0,1.26539999999999,0.0
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-2.9407101537931,0.027375552666663,0.0,4.0000187
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-2.9635321102931,0.004553596166662,1.16279999999999,15.9994692
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-2.9629106410431,0.005175065416661,1.1475,16.0006208
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-2.9515829482931,0.016502758166661,0.0764,16.0006634
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-2.9617253507931,0.006360355666661,0.185799999999999,0.0
2,7,7,0.89,1.9,1.55,1.4742857142857142,0.534,0.586,1.0369525096458223,0.02653061223136184,1.725,0.34999999999999987,7.0,-2.6378569690431,0.0,0.0,3.99999959999999
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,1.875,0.6500000000000001,7.5,-2.3171343647931,0.02291560858333,0.0,20.9979188
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087004,1.625,0.1499999999999999,6.5,-2.7469805557931,0.0,2.2267,0.0
2,9,5,0.89,1.88,1.6,1.4742857142857142,0.6255555555555555,0.677142857142857,0.9907756868737044,0.025147986214382058,1.74,0.2799999999999998,7.0,-2.710650131,0.066096190249994,1.53459999999999,0.000261799999999
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.05999999999999983,5.5,-3.05619982500001,0.0,1.58239999999999,12.0
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.027069416193587964,1.715,0.22999999999999998,6.5,-2.89555372049999,0.0,1.455,0.0
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.027069416193587964,1.715,0.22999999999999998,6.5,-2.87741168466666,0.018142035833317,1.69079999999999,15.0030445
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.027069416193587964,1.715,0.22999999999999998,6.5,-2.873255236,0.022298484499984,1.34979999999999,20.0003999
2,5,9,0.89,1.6,2.28,1.4742857142857142,0.677142857142857,0.605,0.9957647196881575,0.0353455817849575,1.94,0.6799999999999997,7.0,-2.733223787,0.0,0.8889,7.22e-05
2,5,5,0.89,1.6,1.63,1.4742857142857142,0.677142857142857,0.576875,1.0026728991087577,0.04946591782605353,1.615,0.029999999999999805,5.0,-3.119411723,0.0,0.0,0.000232099999999
2,5,5,0.89,1.6,1.63,1.4742857142857142,0.677142857142857,0.576875,1.0026728991087577,0.04946591782605353,1.615,0.029999999999999805,5.0,-3.094641198,0.024770524999999,0.0,0.1300782
2,10,6,0.89,1.91,2.16,1.4742857142857142,0.5714285714285715,0.58,1.0287048758048811,0.004338394791730325,2.035,0.2500000000000002,8.0,-2.44925213,0.0,2.3514,0.0
2,10,8,0.89,1.91,2.2,1.4742857142857142,0.5714285714285715,0.521,1.0442976057771003,0.025911109466629296,2.055,0.29000000000000026,9.0,-2.068848193,0.025932189499996,0.004,15.9818678
2,10,6,0.89,1.91,1.7,1.4742857142857142,0.5714285714285715,0.562,1.0334123943021867,0.0047940727803038015,1.805,0.20999999999999996,8.0,-2.56365896249999,0.0,3.3409,0.0
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,1.7650000000000001,0.13000000000000012,7.0,-2.498643676,0.157696589250001,0.0,3.99999989999999
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891487,0.020422055810554635,1.4500000000000002,0.30000000000000004,4.5,-3.38067126699999,0.121074810656251,0.0,0.0353277
2,4,6,0.89,1.3,1.7,1.4742857142857142,0.72,0.562,0.9957995683169579,0.07741303278911667,1.5,0.3999999999999999,5.0,-3.056130819,0.180937930749996,0.0,2.0
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.012499999994140497,1.315,0.030000000000000027,4.0,-3.635092758,0.094996619000026,3.3163,0.0
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087004,1.625,0.1499999999999999,6.5,-2.6703698287931,0.091892590250006,1.88519999999999,5.0000003
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.05701351061759244,1.65,0.09999999999999987,5.5,-2.81802165,0.158354321222232,0.763099999999999,2.99999989999999
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485815,0.032919954888583576,1.465,0.27,4.5,-3.313915328,0.113674588374994,0.0,0.0002061
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.08989128666726039,1.5150000000000001,0.3699999999999999,5.0,-2.979708477,0.194257001583331,0.0,1.9999999
2,6,6,0.89,1.66,1.7,1.4742857142857142,0.521,0.562,1.0468333344830414,0.021117692494917566,1.68,0.040000000000000036,6.0,-2.23342298566666,0.170293997583339,0.1824,2.99999989999999
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891487,0.020422055810554635,1.4500000000000002,0.30000000000000004,4.5,-3.4130699325,0.052069121000002,0.0,6.8874179
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.012499999994140497,1.315,0.030000000000000027,4.0,-3.6694066805,0.04404608825,0.426599999999999,7.0000002
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485815,0.032919954888583576,1.465,0.27,4.5,-3.3493691235,0.06010360025,0.0,6.6693043
2,6,8,0.89,1.66,1.83,1.4742857142857142,0.521,0.6216666666666666,1.0309909970798246,0.05106526882766389,1.745,0.17000000000000015,7.0,-5.153567591,0.0,0.0,9.6463861
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891487,0.020422055810554635,1.4500000000000002,0.30000000000000004,4.5,-3.06633499966666,0.096817413222229,0.622799999999999,0.0
2,4,4,0.89,1.3,1.54,1.4742857142857142,0.72,0.6341666666666667,0.978500422361714,0.041323971895852095,1.42,0.24,4.0,-3.104368333,0.190470733819445,0.0,8e-07
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,1.7650000000000001,0.13000000000000012,7.0,-2.08932370766666,0.1948221645,0.0,4.9754546
2,9,9,0.89,2.2,1.88,1.4742857142857142,0.625,0.6255555555555555,1.0035299558559871,0.00027431079399434835,2.04,0.3200000000000003,9.0,-2.2561880905,0.077274600458354,0.0,4.9919466
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.03024865417572495,1.9100000000000001,0.5000000000000002,6.0,-2.7249114925,0.136250090285706,0.0,4.995957
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.003025718606643502,1.855,0.6100000000000001,6.5,-2.6442282702931,0.193645975828825,0.382399999999999,6.0003792
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,1.875,0.6500000000000001,7.5,-2.4999615022931,0.190924160466654,0.0,2.0
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,1.875,0.6500000000000001,7.5,-2.5672965662931,0.123589096466654,0.320999999999999,1.99999669999999
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,1.875,0.6500000000000001,7.5,-2.5412320577931,0.149653604966655,0.0,15.8583723
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.05999999999999983,5.5,-3.0665843775,0.127025262016658,0.0,1.999924
2,8,10,0.89,2.2,1.91,1.4742857142857142,0.521,0.5714285714285715,1.0442976057771003,0.025911109466629296,2.055,0.29000000000000026,9.0,-2.37273658949999,0.039392856166665,0.0,5.0061727
2,7,5,0.89,1.55,1.5,1.4742857142857142,0.586,0.6940000000000001,0.9962877053600813,0.05294117644463672,1.525,0.050000000000000044,6.0,-3.18655668902643,0.123896606166656,1.0025,5.00002
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.05722472712120457,1.6,0.11999999999999988,5.0,-3.29082848533333,0.053622175750016,2.2522,1e-07
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.05722472712120457,1.6,0.11999999999999988,5.0,-3.29738807508333,0.047062586000015,1.22499999999999,11.9988121
2,8,4,0.89,1.83,1.54,1.4742857142857142,0.6216666666666666,0.6341666666666667,1.002224081658698,0.006163961369469266,1.685,0.29000000000000004,6.0,-3.11263003233333,0.059971858499999,1.78379999999999,0.0
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087004,1.625,0.1499999999999999,6.5,-2.19195733145976,0.194802626833336,0.0,4.5399525
2,5,4,0.89,1.6,1.54,1.4742857142857142,0.677142857142857,0.6341666666666667,0.9887005136293857,0.02090632690455394,1.57,0.06000000000000005,4.5,-3.13772750847126,0.030822862999997,1.56509999999999,0.0007635
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.05999999999999983,5.5,-2.71384755499999,0.180641513499987,0.0,4.7459269
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.05701351061759244,1.65,0.09999999999999987,5.5,-2.42001267766666,0.1861718270278,0.0,2.0
2,8,9,0.89,1.83,1.88,1.4742857142857142,0.6216666666666666,0.6255555555555555,1.0043564733210566,0.0019217570340538453,1.855,0.04999999999999982,8.5,-2.33368072575,0.0784512655,0.0,6.0003537
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.012499999994140497,1.315,0.030000000000000027,4.0,-3.52449929975,0.195317215612494,0.0,0.000187699999999
2,7,9,0.89,1.55,1.88,1.4742857142857142,0.586,0.6255555555555555,1.013286188250771,0.019720806548998167,1.7149999999999999,0.32999999999999985,8.0,-2.4436261250431,0.088181212166666,0.0,13.9980881
2,7,4,0.89,1.55,1.54,1.4742857142857142,0.586,0.6341666666666667,1.0111157508846638,0.02396252227156638,1.545,0.010000000000000009,5.5,-2.49505076912643,0.168152721549985,0.0,4.0101239
2,7,5,0.89,1.55,1.6,1.4742857142857142,0.586,0.677142857142857,1.0004210978497645,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-2.87396858112643,0.195677998405583,0.0,4.9234599
2,5,4,0.89,1.6,1.54,1.4742857142857142,0.677142857142857,0.6341666666666667,0.9887005136293857,0.02090632690455394,1.57,0.06000000000000005,4.5,-2.90355266008333,0.145619113250019,0.6275,0.0
2,5,6,0.89,1.63,1.7,1.4742857142857142,0.576875,0.562,1.0319834566516202,0.007552918024789847,1.665,0.07000000000000006,5.5,-2.28422854466666,0.163241989473213,0.0,2.0421198
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485815,0.032919954888583576,1.465,0.27,4.5,-3.00139788966666,0.099896537472227,0.606099999999999,0.0
2,4,4,0.89,1.33,1.54,1.4742857142857142,0.7466666666666667,0.6341666666666667,0.972259239681829,0.05381702209903104,1.435,0.20999999999999996,4.0,-3.028436694,0.198604889944444,0.0,5.02e-05
2,7,10,0.89,1.9,1.91,1.4742857142857142,0.534,0.5714285714285715,1.0408214523609285,0.019167459204464766,1.9049999999999998,0.010000000000000009,8.5,-2.44190680425,0.033321185000008,0.0,3.0213158
2,9,5,0.89,1.88,1.5,1.4742857142857142,0.6255555555555555,0.6940000000000001,0.9867214516383629,0.033229043030582446,1.69,0.3799999999999999,7.0,-2.81175282073333,0.073295865250001,1.53279999999999,1.21e-05
2,6,5,0.89,1.66,1.5,1.4742857142857142,0.521,0.6940000000000001,1.012416896101201,0.08617683681884095,1.58,0.15999999999999992,5.5,-3.16791021648333,0.0,2.2009,12.0005588
2,8,5,0.89,1.83,1.5,1.4742857142857142,0.6216666666666666,0.6940000000000001,0.987653803648176,0.035150238907353915,1.665,0.33000000000000007,6.5,-3.00621388623333,0.0,1.86229999999999,0.0
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,1.525,0.050000000000000044,6.0,-3.04905246552643,0.028530789916667,0.0,4.0000375
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,1.525,0.050000000000000044,6.0,-3.07083603552643,0.006747219916666,1.18229999999999,16.0003823
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,1.525,0.050000000000000044,6.0,-3.06990704402643,0.007676211416667,1.1315,16.0004006
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,1.525,0.050000000000000044,6.0,-3.07142502102643,0.006158234416668,1.1694,8.5e-06
2,8,4,0.89,1.83,1.54,1.4742857142857142,0.6216666666666666,0.6341666666666667,1.002224081658698,0.006163961369469266,1.685,0.29000000000000004,6.0,-2.816929195,0.015144188583332,0.0,12.0139767
2,7,4,0.89,1.55,1.54,1.4742857142857142,0.586,0.6341666666666667,1.0111157508846638,0.02396252227156638,1.545,0.010000000000000009,5.5,-2.97172770237643,0.019383723583304,1.15879999999999,0.000225799999999
2,8,5,0.89,1.83,1.63,1.4742857142857142,0.6216666666666666,0.576875,1.0165840890759161,0.022404001447659076,1.73,0.20000000000000018,6.5,-2.592685414,0.10079025249999,1.0389,4.9977207
2,8,5,0.89,1.83,1.63,1.4742857142857142,0.6216666666666666,0.576875,1.0165840890759161,0.022404001447659076,1.73,0.20000000000000018,6.5,-2.568807841,0.12466782549999,0.6837,19.9996996
2,5,6,0.89,1.63,2.16,1.4742857142857142,0.576875,0.58,1.0272889181046378,0.00157952929947017,1.895,0.5300000000000002,5.5,-2.6755853955,0.083071706249999,0.400299999999999,8e-07
2,9,3,0.89,2.2,1.22,1.4742857142857142,0.625,0.9884999999999999,0.9210046081286053,0.1647218759874376,1.71,0.9800000000000002,6.0,-2.76159472999999,0.0,0.0,2.0
2,8,3,0.89,2.2,1.22,1.4742857142857142,0.521,0.9884999999999999,0.943230963671926,0.21696252455414192,1.71,0.9800000000000002,5.5,-2.831114415,0.0,0.0903,3.0002985
2,4,4,0.89,1.33,1.54,1.4742857142857142,0.7466666666666667,0.6341666666666667,0.972259239681829,0.05381702209903104,1.435,0.20999999999999996,4.0,-3.56091773233333,0.004841601999968,2.2161,0.0001906
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.08989128666726039,1.5150000000000001,0.3699999999999999,5.0,-3.054233885,0.076474615249987,0.0,1.99999939999999
2,5,4,1.0,1.6,1.3,1.155,0.677142857142857,0.72,0.8608988956610052,0.020422055810554635,1.4500000000000002,0.30000000000000004,4.5,-3.00422916366666,0.181525003263892,0.536699999999999,0.0
2,6,9,1.0,1.66,1.88,1.155,0.521,0.6255555555555555,0.9155618360628428,0.05298572592264028,1.77,0.21999999999999997,7.5,-2.508303185,0.135700244249999,0.0,0.0035364
2,6,8,1.0,1.66,1.83,1.155,0.521,0.6216666666666666,0.9164649096805497,0.05106526882766389,1.745,0.17000000000000015,7.0,-2.73674654549999,0.031413375749995,0.0,13.993967
2,6,6,1.0,1.66,2.16,1.155,0.521,0.58,0.9262536915030343,0.03024865417572495,1.9100000000000001,0.5000000000000002,6.0,-2.8939462705,0.014054269999999,1.5053,2.0069223
2,6,10,1.0,1.66,1.91,1.155,0.521,0.5714285714285715,0.9282933737238288,0.025911109466629296,1.785,0.25,8.0,-2.54036150849999,0.075222478333326,0.6463,0.0010837
2,6,6,1.0,1.66,1.7,1.155,0.521,0.562,0.9305474248125842,0.021117692494917566,1.68,0.040000000000000036,6.0,-2.890700132,0.061542932458339,1.85259999999999,2.0028681
2,8,9,1.0,1.83,1.88,1.155,0.6216666666666666,0.6255555555555555,0.8927890420152633,0.0019217570340538453,1.855,0.04999999999999982,8.5,-2.399504409,0.047697685833332,0.0,15.9981038
2,8,6,1.0,1.83,2.16,1.155,0.6216666666666666,0.58,0.9029526823622547,0.020824656382761444,1.995,0.33000000000000007,7.0,-2.712180774,0.023970996249999,1.21859999999999,14.0000305
2,8,10,1.0,1.83,1.91,1.155,0.6216666666666666,0.5714285714285715,0.9048909267456265,0.025162482844710087,1.87,0.07999999999999985,9.0,-2.352552896,0.0,0.0,10.0129448
2,8,10,1.0,1.83,1.91,1.155,0.6216666666666666,0.5714285714285715,0.9048909267456265,0.025162482844710087,1.87,0.07999999999999985,9.0,-2.348544327,0.004008568999999,0.357999999999999,10.0002619
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,1.7650000000000001,0.13000000000000012,7.0,-2.7854485645,0.037199050749997,0.220399999999999,2.0002215
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,1.7650000000000001,0.13000000000000012,7.0,-2.78816411,0.034483505249998,2.471,0.001670799999999
2,6,7,1.0,1.66,1.55,1.155,0.521,0.586,0.924831238944292,0.03327361144956557,1.605,0.10999999999999988,6.5,-2.8557681932931,0.106913039966663,0.0,6.5e-06
2,8,7,1.0,1.83,1.55,1.155,0.6216666666666666,0.586,0.9016008443620231,0.01779921815630085,1.69,0.28,7.5,-2.6976986797931,0.057458161166655,1.07569999999999,3.9e-06
2,8,7,1.0,1.83,1.55,1.155,0.6216666666666666,0.586,0.9016008443620231,0.01779921815630085,1.69,0.28,7.5,-2.6905718437931,0.064584997166653,1.4781,3.9943381
2,7,6,1.0,1.55,2.16,1.155,0.586,0.58,0.911073033427838,0.003025718606643502,1.855,0.6100000000000001,6.5,-2.8261777087931,0.063149547641668,1.3872,7.9999727
2,7,5,1.0,1.55,1.6,1.155,0.586,0.677142857142857,0.8892908218212245,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-3.2073120405431,0.007620192874997,2.4089,0.0
2,7,5,1.0,1.55,1.6,1.155,0.586,0.677142857142857,0.8892908218212245,0.04486323041178241,1.5750000000000002,0.050000000000000044,6.0,-3.1625631067931,0.052369126624997,2.44389999999999,10.0000037
2,5,9,1.0,1.6,1.88,1.155,0.677142857142857,0.6255555555555555,0.8807168568457358,0.025147986214382058,1.74,0.2799999999999998,7.0,-3.053297722,0.009486787375001,0.713499999999999,4.06e-05
2,6,5,1.0,1.66,1.5,1.155,0.521,0.6940000000000001,0.8999540848295219,0.08617683681884095,1.58,0.15999999999999992,5.5,-3.29182253648333,0.035145320874999,2.10459999999999,5e-07
2,8,5,1.0,1.83,1.5,1.155,0.6216666666666666,0.6940000000000001,0.877941763332387,0.035150238907353915,1.665,0.33000000000000007,6.5,-3.21720305373333,0.0,1.89719999999999,8.0000221
2,6,4,1.0,1.66,1.54,1.155,0.521,0.6341666666666667,0.9135684928333259,0.05722472712120457,1.6,0.11999999999999988,5.0,-3.37671719458333,0.006414756125,2.68769999999999,2e-06
2,8,4,1.0,1.83,1.54,1.155,0.6216666666666666,0.6341666666666667,0.8908935238800106,0.006163961369469266,1.685,0.29000000000000004,6.0,-3.20054750483333,0.00395897575,0.0,1e-06
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,1.545,0.010000000000000009,5.5,-3.26121205637643,0.088569546619055,0.2488,0.0
2,6,5,1.0,1.66,1.63,1.155,0.521,0.576875,0.9269962865798125,0.02866946732326237,1.645,0.030000000000000027,5.5,-3.06073793449999,0.012913291580348,1.5655,3.9962311
2,8,5,1.0,1.83,1.63,1.155,0.6216666666666666,0.576875,0.9036583714275724,0.022404001447659076,1.73,0.20000000000000018,6.5,-2.888186702,0.012774371857144,0.0,10.0000008
2,8,5,1.0,1.83,1.63,1.155,0.6216666666666666,0.576875,0.9036583714275724,0.022404001447659076,1.73,0.20000000000000018,6.5,-2.7651151875,0.135845886357143,1.0776,6.0000195
2,8,5,1.0,1.83,1.63,1.155,0.6216666666666666,0.576875,0.9036583714275724,0.022404001447659076,1.73,0.20000000000000018,6.5,-2.87007376883333,0.030887305023812,0.1109,18.0006479
2,8,7,1.0,1.83,1.55,1.155,0.6216666666666666,0.586,0.9016008443620231,0.01779921815630085,1.69,0.28,7.5,-2.0965567557931,0.014174021791656,0.704899999999999,15.9977427
2,7,9,1.0,1.55,2.2,1.155,0.586,0.625,0.9008515708275395,0.019446522054626592,1.875,0.6500000000000001,8.0,-1.76091609532567,0.08423449462963,0.0,4.4633784
2,7,6,1.0,1.55,1.7,1.155,0.586,0.562,0.9152268618462339,0.012158054705087004,1.625,0.1499999999999999,6.5,-2.313512528659,0.111371464351847,0.855699999999999,8.3e-06
2,8,4,1.0,1.83,1.3,1.155,0.6216666666666666,0.72,0.8724303381801499,0.047484909433810236,1.565,0.53,6.0,-3.11856206874999,0.180109948,2.0833,5.0000007
2,4,4,1.0,1.3,1.54,1.155,0.72,0.6341666666666667,0.8698051716669609,0.041323971895852095,1.42,0.24,4.0,-3.52450232808333,0.19043320675,0.0,0.003676
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,1.545,0.010000000000000009,5.5,-3.08497643187643,0.174806552749999,0.0,3.66e-05
2,6,4,1.0,1.66,1.33,1.155,0.521,0.7466666666666667,0.8883018070819494,0.11095632216129332,1.495,0.32999999999999985,5.0,-3.20695342975,0.199055479000001,2.4074,3.0000005
2,8,4,1.0,1.83,1.54,1.155,0.6216666666666666,0.6341666666666667,0.8908935238800106,0.006163961369469266,1.685,0.29000000000000004,6.0,-3.12357412141666,0.019325853499998,1.3812,15.9990178
