Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.022746185841624657,-2.463285518,Fm-3m
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.022746185841624657,-2.454069767,I4/mmm
2,7,9,0.89,1.9,1.88,1.4742857142857142,0.534,0.6255555555555555,1.0265934599965334,0.04624536982735392,-2.4478527995,R-3m
2,9,8,0.89,1.88,2.2,1.4742857142857142,0.6255555555555555,0.521,1.0299750708182498,0.05298572592264028,-2.09980503266666,P3m1
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.031876950496717994,-2.565399248,I4/mmm
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.031876950496717994,-2.5761506235,R-3m
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.03024865417572495,-2.66020709599999,I4/mmm
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,-2.500273185,C2/m
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,-2.50098259249999,C2
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,-2.501110608,C2
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,-2.497820122,C2/m
2,7,8,0.89,1.9,1.83,1.4742857142857142,0.534,0.6216666666666666,1.0276027229691191,0.044324597601251514,-2.48591545325,Fm-3m
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,-2.639823302,P-1
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,-2.6401709015,I4/mmm
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.020824656382761444,-2.38106267772727,P1
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.003025718606643502,-2.6296567122931,Fm-3m
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,-2.9407101537931,Fm-3m
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,-2.9635321102931,Pnma
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,-2.9629106410431,P-1
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,-2.9515829482931,Imma
2,5,7,0.89,1.6,1.55,1.4742857142857142,0.677142857142857,0.586,1.0004210978497645,0.04486323041178241,-2.9617253507931,I4/mmm
2,7,7,0.89,1.9,1.55,1.4742857142857142,0.534,0.586,1.0369525096458223,0.02653061223136184,-2.6378569690431,Fm-3m
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,-2.3171343647931,C2/m
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087004,-2.7469805557931,Fm-3m
2,9,5,0.89,1.88,1.6,1.4742857142857142,0.6255555555555555,0.677142857142857,0.9907756868737044,0.025147986214382058,-2.710650131,Fm-3m
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,-3.05619982500001,P6_3/mmc
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.027069416193587964,-2.89555372049999,Fm-3m
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.027069416193587964,-2.87741168466666,P-3m1
2,8,5,0.89,1.83,1.6,1.4742857142857142,0.6216666666666666,0.677142857142857,0.9917157199580316,0.027069416193587964,-2.873255236,P6_3/mmc
